#Gene	log2(fold-change)array	q-value_array	log2(fold-change)RNA_seq	q-value_RNA_seq
C10orf126/C10orf126	0.056520510203649	0.316258388365412	0	1
CD19/CD19	0.248217208515424	0.20041163452892	0	1
OR10A3/OR10A3	0.269720182386728	0.274718938698361	0	1
DLX5/DLX5	-0.00563049377403978	0.397972333264291	0	1
OR52B6/OR52B6	0.131954981217173	0.315625667036594	0	1
RLN3/RLN3	0.485051425165511	0.123149532291498	0	1
TAS1R1/TAS1R1	0.395814982598329	0.165827749709088	0	1
MPZL3/MPZL3	-0.300255743232026	0.158053425013725	0	1
PCDH8/PCDH8	0.19173374107495	0.235167676336149	0	1
BCAS1/BCAS1	0.292421913031751	0.226062754609037	0	1
C9orf131/C9orf131	0.185165410069875	0.239186056139245	0	1
PDHA2/PDHA2	0.257154946805358	0.276925520251367	0	1
SPC25/SPC25	0.203706075525591	0.301194080533613	0	1
KLRAP1/KLRAP1	0.325884382016894	0.0128402481784505	0	1
ZP4/ZP4	0.306811417931158	0.160724798668066	0	1
OR8K5/OR8K5	0.0214743917675351	0.390468618418991	0	1
CRNN/CRNN	0.434611759272056	0.174956490109365	0	1
OR2B3/OR2B3	0.352956715773529	0.153364557453147	0	1
FAM71B/FAM71B	0.273222113294458	0.205866218922025	0	1
PRKACG/PRKACG	0.168193437366954	0.286433408880792	0	1
TAS2R40/TAS2R40	0.401245692131231	0.195754307449966	0	1
OR5I1/OR5I1	0.30776383972172	0.230928559638547	0	1
WFDC11/WFDC11	0.183307985739244	0.189113058569165	0	1
PPY2/PPY2	0.232551208599943	0.296422163533012	0	1
TBX20/TBX20	0.28197502097244	0.15297088879979	0	1
ALPI/ALPI	0.270294748703031	0.210487403581476	0	1
NPSR1/NPSR1	0.417049228079883	0.118653086502258	0	1
WSCD2/WSCD2	0.150389097307815	0.192729711959831	0	1
NEUROD4/NEUROD4	0.320398368868081	0.233575667415041	0	1
PYY2/PYY2	0.235570134782811	0.253849249936639	0	1
CHRM2/CHRM2	0.031266881439837	0.38359651513307	0	1
NR1H4/NR1H4	0.170050870556523	0.179523099895323	0	1
RASL10A/RASL10A	0.399069792045842	0.140561172443642	0	1
OR5K2/OR5K2	0.0710193243201438	0.298767504614504	0	1
GABRA4/GABRA4	0.153669974195847	0.239884059412016	0	1
SSTR1/SSTR1	0.216792566028916	0.203829124611935	0	1
RAD17/RAD17	-0.64873223430856	0.0391414776242666	0	1
LILRB5/LILRB5	0.186271893362069	0.23562646731922	0	1
CD5/CD5	0.20973239610069	0.228311987458561	0	1
SYCP2/SYCP2	0.096146340045166	0.197257033250608	0	1
LECT2/LECT2	0.247239615441269	0.186387281572486	0	1
AQP5/AQP5	0.141775564977526	0.311250461147297	0	1
OR4C6/OR4C6	0.711639868915344	0.0960715202268451	0	1
TMEM163/TMEM163	0.186350365122808	0.230105750119785	0	1
CCL21/CCL21	0.191559834618356	0.256514639914123	0	1
MSTN/MSTN	0.334158792175359	0.199999021966376	0	1
MOGAT1/MOGAT1	0.196566221387253	0.252810535451945	0	1
LRRC3/LRRC3	0.151558242330035	0.277920929645201	0	1
CENPV/CENPV	0.13962462121765	0.235249842566816	0	1
FAM124B/FAM124B	0.456330454367639	0.21221842002905	0	1
RSAD2/RSAD2	0.206043162094814	0.220179764081195	0	1
KRTDAP/KRTDAP	0.136216520881502	0.322721394702641	0	1
OR1N1/OR1N1	0.516599169071648	0.221133775759566	0	1
RGS6/RGS6	0.150905283659414	0.293022408020241	0	1
SLC26A5/SLC26A5	0.208827290727212	0.168409943921514	0	1
OAF/OAF	0.167336834546158	0.28028520853383	0	1
BEST2/BEST2	0.152035446114952	0.287770715855328	0	1
ERAS/ERAS	0.0896613382710384	0.319548139710251	0	1
CPA5/CPA5	0.198643800109029	0.240224719618411	0	1
CD300LF/CD300LF	0.112534657981467	0.334177456278888	0	1
HSPA1B/HSPA1B	-0.868023478319167	0.015121430490317	0	1
OR51A4/OR51A4	-0.112436384992581	0.316164707079348	0	1
LY6E/LY6E	-0.196430961638919	0.236917504670149	0	1
ATP12A/ATP12A	0.149434120169814	0.163442996537814	0	1
BTBD7/BTBD7	0.303843823430157	0.0545899723404344	0	1
S1PR5/S1PR5	0.0735643561695438	0.32241469865036	0	1
PIP/PIP	0.612579700166929	0.113290540530347	0	1
COX6A2/COX6A2	0.127114584958085	0.344642529721557	0	1
KCNE2/KCNE2	0.147802455091484	0.344642529721557	0	1
OR5T3/OR5T3	0.0474060798756265	0.354757885086233	0	1
PDZK1/PDZK1	0.610525808248899	0.0979252020183492	0	1
PCP4/PCP4	0.0540032429946232	0.3780229451263	0	1
HEMGN/HEMGN	0.144682213770042	0.259574081367286	0	1
KRTAP10-10/KRTAP10-10	0.46999414036389	0.120873056091103	0	1
ZNF488/ZNF488	0.0619061653662548	0.402103672081825	0	1
CXCL6/CXCL6	0.151565485333687	0.274484226988576	0	1
SLC34A2/SLC34A2	0.205970556958319	0.250083852508	0	1
OR7G3/OR7G3	-0.129355423326369	0.27309508721902	0	1
ZNHIT3/ZNHIT3	-0.0406771215487753	0.343620653509693	0	1
KRTAP5-5/KRTAP5-5	0.00560492549460912	0.4139711816767	0	1
CHSY3/CHSY3	0.465546336869848	0.140561172443642	0	1
OR6V1/OR6V1	0.414661589770421	0.210033004687304	0	1
HSD17B8/HSD17B8	0.247556704282062	0.170996248765817	0	1
ST8SIA2/ST8SIA2	0.443688721903735	0.188900218875022	0	1
LMX1B/LMX1B	0.124088338728653	0.36374437398597	0	1
C7orf34/C7orf34	0.29924540574237	0.114110669013115	0	1
CD164L2/CD164L2	0.430585179578848	0.118980115950291	0	1
LPPR3/LPPR3	0.180816902581672	0.230292756514506	0	1
IRF8/IRF8	0.200313003691543	0.202114935111546	0	1
SLC16A8/SLC16A8	0.113323624265492	0.274967909108933	0	1
CFHR3/CFHR3	0.0871122502854153	0.164458198669584	0	1
TLCD1/TLCD1	-0.637124745595807	0.0293946931900195	0	1
FLJ45079/FLJ45079	0.207667746529405	0.25925649327869	0	1
TTTY5/TTTY5	0.276984757836475	0.193339192517783	0	1
FAM9C/FAM9C	0.0932961714878687	0.273074094031832	0	1
OR4N2/OR4N2	1.27009562727099	0.12185753442754	0	1
DUSP16/DUSP16	0.604155199490708	0.0113888504565792	0	1
INHBC/INHBC	0.0892248726948513	0.315530526437572	0	1
GNG13/GNG13	0.0936903220319094	0.368540172640222	0	1
F12/F12	0.0878479886622004	0.329623488446832	0	1
DEFB123/DEFB123	0.682200808815228	0.0635817555613156	0	1
ADAM20/ADAM20	-0.0994941538229831	0.312968806009679	0	1
OR6K6/OR6K6	0.395798350137141	0.0418490539201879	0	1
SMR3B/SMR3B	0.465874713443725	0.193527654775347	0	1
FREM1/FREM1	0.154898675853723	0.293110441116199	0	1
NDUFA10/NDUFA10	-0.152460470073499	0.107556560282583	0	1
CCDC92/CCDC92	-0.784316576436826	0.018038999136102	0	1
KCNK5/KCNK5	0.296856425609946	0.190691618266661	0	1
CD69/CD69	0.0415560139654319	0.373308976513888	0	1
LTA/LTA	0.446383718712963	0.194799945175239	0	1
MYOZ1/MYOZ1	0.0782420026240954	0.340958157005673	0	1
IFNB1/IFNB1	0.481496212623436	0.151864405707119	0	1
GPA33/GPA33	0.314589951292473	0.20778275397004	0	1
HIST1H3A/HIST1H3A	0.918892443459265	0.0255844937638689	0	1
SLC2A9/SLC2A9	0.336812746640815	0.176033019190448	0	1
ARL17A/ARL17A	0.10600795339981	0.348197772179376	0	1
CD300E/CD300E	0.12284198818332	0.349377755826895	0	1
KRT85/KRT85	0.201149149907053	0.186963535629964	0	1
CRYGA/CRYGA	0.0926603325390761	0.354403869233777	0	1
OR8S1/OR8S1	0.442233644089032	0.192464082623983	0	1
DCAF12L1/DCAF12L1	0.213761319464034	0.246091876819868	0	1
OR2L3/OR2L3	1.01833354955837	0.0850741833533276	0	1
SLC4A11/SLC4A11	0.15491047528762	0.269581103997588	0	1
VSIG10/VSIG10	-0.178382291567327	0.0651847646915827	0	1
CISH/CISH	0.158480790299732	0.281999100678436	0	1
ZNF683/ZNF683	0.165606747815723	0.205318147604767	0	1
FAM155B/FAM155B	0.0935834974846261	0.339447681602648	0	1
DUSP9/DUSP9	0.121407029437032	0.329485896100501	0	1
TM4SF5/TM4SF5	0.0536198785777902	0.337171782849339	0	1
SLC17A8/SLC17A8	0.152218434530588	0.281974923427021	0	1
ZNF658/ZNF658	0.231402534499151	0.352791986845384	0	1
OR51G1/OR51G1	0.283310919187123	0.210667039143302	0	1
OLFML1/OLFML1	0.0572570520601928	0.374202389718964	0	1
LCE4A/LCE4A	0.67488060264949	0.131042990428071	0	1
GLIPR1L1/GLIPR1L1	0.136813317145698	0.257132222425984	0	1
GHSR/GHSR	0.638360104545734	0.0560244362900904	0	1
ATP8B1/ATP8B1	-0.198595820166673	0.128640576492744	0	1
ZNF300P1/ZNF300P1	0.361878091817112	0.17053928250678	0	1
RNF183/RNF183	0.333300640840738	0.164297349996851	0	1
LRRC3B/LRRC3B	0.193761857370376	0.24868106596154	0	1
TPPP2/TPPP2	0.151984874353686	0.2832860743515	0	1
UBE2DNL/UBE2DNL	0.118486187895917	0.36001085659526	0	1
SMYD1/SMYD1	0.270722603162328	0.247315014664817	0	1
ZPBP/ZPBP	0.14300202704808	0.273965201351486	0	1
ZNF645/ZNF645	0.394604132027281	0.250816083187701	0	1
FGF23/FGF23	0.329754593869589	0.212992367133035	0	1
NLRP14/NLRP14	0.146263318073334	0.255299077984817	0	1
C1QTNF8/C1QTNF8	0.0907743522035962	0.319828344420031	0	1
SPRR1B/SPRR1B	0.223986209566674	0.345408069529225	0	1
FLRT1/FLRT1	0.186851424895443	0.3300843022776	0	1
ASB2/ASB2	-0.366308245260993	0.121643818360705	0	1
N4BP3/N4BP3	0.337216804743851	0.179108175628986	0	1
RPRML/RPRML	0.222261625259163	0.211893990786681	0	1
OTOP1/OTOP1	0.289041146991364	0.155122196079528	0	1
CRISP1/CRISP1	0.0977740310362608	0.298012217616135	0	1
KRT32/KRT32	0.254123833131492	0.240588510019556	0	1
VSTM1/VSTM1	0.220086698570453	0.23638508881823	0	1
GHRH/GHRH	0.482958887481067	0.230292756514506	0	1
GDF3/GDF3	0.171752793076748	0.27094267826246	0	1
CRCT1/CRCT1	0.285538330168308	0.165000448800512	0	1
RIT2/RIT2	0.0270337180481457	0.388287211281427	0	1
GLT1D1/GLT1D1	0.151059426789946	0.311859673417818	0	1
NCF4/NCF4	0.270596424874303	0.198053376161896	0	1
OTOP2/OTOP2	0.306024938791177	0.196468966618896	0	1
ACOT12/ACOT12	0.176556906737535	0.156872461842252	0	1
ZAR1/ZAR1	0.155301473014963	0.288164694685967	0	1
GALNT3/GALNT3	0.0401513128377306	0.338543030942638	0	1
NTRK1/NTRK1	0.357799155438022	0.147732920805055	0	1
ANGPTL5/ANGPTL5	0.135691678752471	0.260084784592218	0	1
OR13C2/OR13C2	-0.0675383659709647	0.332463973921849	0	1
CNGB1/CNGB1	0.184085842152364	0.27191624258039	0	1
NTSR1/NTSR1	0.023450146003723	0.397025465537456	0	1
CPXM2/CPXM2	0.26556618181852	0.273644486151128	0	1
RGN/RGN	0.119993535188522	0.324746837711802	0	1
OR5L1/OR5L1	0.0593532312103436	0.401995985769948	0	1
FGR/FGR	0.266458286181742	0.19575065688039	0	1
FLJ40288/FLJ40288	0.27123649557433	0.22738600249269	0	1
XK/XK	0.141612953226095	0.137214115852996	0	1
CAPNS2/CAPNS2	0.236996717571317	0.278100106552835	0	1
HEPH/HEPH	0.0317188775162075	0.396766121380854	0	1
OR9I1/OR9I1	0.125477636254395	0.269162975125839	0	1
CCT8L2/CCT8L2	0.246263692514769	0.239062997975695	0	1
ADAM7/ADAM7	0.0938743423483027	0.303073633391677	0	1
LEP/LEP	0.370660056381805	0.151927470369083	0	1
CACNG5/CACNG5	0.206037735162779	0.277179887499734	0	1
TP53AIP1/TP53AIP1	0.0680317508724041	0.125411019758739	0	1
CYP2F1/CYP2F1	0.445014148092528	0.233627613088982	0	1
UNC45B/UNC45B	0.155022618723857	0.2709417389534	0	1
LPAR4/LPAR4	0.488561628865238	0.127375606776671	0	1
RUNX3/RUNX3	0.157103475514399	0.276053933457587	0	1
EFNB1/EFNB1	-0.618158226308188	0.0145910968432005	0	1
PRKCB/PRKCB	0.186539548546484	0.226387107996186	0	1
TGM7/TGM7	0.126683772096469	0.282765711431031	0	1
ELANE/ELANE	0.12499092878127	0.303388616869607	0	1
UGT2B7/UGT2B7	0.420570644282661	0.200346388416248	0	1
FEV/FEV	0.0708100890598648	0.333824096400565	0	1
HES1/HES1	0.0625465201572752	0.347680611893412	0	1
CLC/CLC	0.438862186370486	0.250967627419336	0	1
CD1A/CD1A	0.442291298433377	0.154985494842458	0	1
OR6B1/OR6B1	0.285277623218532	0.250966157293374	0	1
C16orf45/C16orf45	0.655039988973823	0.00511575259028749	0	1
KRTAP5-2/KRTAP5-2	0.0435284666685923	0.409978277543858	0	1
HIST3H3/HIST3H3	-0.0219999929715397	0.3931018425129	0	1
GSTA2/GSTA2	0.496498566327029	0.212871730129961	0	1
TM4SF4/TM4SF4	0.357374160294469	0.119936650748703	0	1
NPY6R/NPY6R	0.145873792338742	0.134544141670446	0	1
ANGPT4/ANGPT4	-0.00446568322670843	0.402421947412395	0	1
C12orf40/C12orf40	0.0985911660838512	0.24759661757722	0	1
OR5R1/OR5R1	0.230441344706084	0.29541679697481	0	1
FAM19A4/FAM19A4	0.332497570278817	0.186650749078464	0	1
SHBG/SHBG	0.164665525722529	0.30234684282336	0	1
BANF2/BANF2	0.534655066343353	0.149441545967686	0	1
PANX3/PANX3	0.144585912093303	0.253841377012914	0	1
TUBB/TUBB	-0.0964164185974255	0.304325029377213	0	1
ENTPD8/ENTPD8	0.377749138872768	0.222425362987521	0	1
MYH6/MYH6	0.203196681705092	0.272548337335235	0	1
SLC24A5/SLC24A5	0.348558095410048	0.140943609668453	0	1
ZNF239/ZNF239	0.0292828702394684	0.402725522792392	0	1
SPZ1/SPZ1	0.118948528315219	0.246469278347409	0	1
NAALADL1/NAALADL1	0.0625072539284104	0.397523954790068	0	1
GKN1/GKN1	0.115622630998955	0.303313373374209	0	1
FCN1/FCN1	0.135200015966189	0.252092595634909	0	1
TNXB/TNXB	0.11794364433428	0.291852286435239	0	1
BIRC7/BIRC7	0.223349897473806	0.214027367334612	0	1
TIMM22/TIMM22	-0.472087164334417	0.00981958583762913	0	1
ZNF35/ZNF35	0.719963632394667	0.0262259558645805	0	1
ADAM32/ADAM32	0.186998559984141	0.0869908055426454	0	1
MYBPC1/MYBPC1	0.0299224810031851	0.390375199491739	0	1
RNF39/RNF39	0.170655006440481	0.228107194617128	0	1
EN1/EN1	0.233492479417203	0.247048952292204	0	1
F7/F7	0.175307570237639	0.233452873864912	0	1
DNAJB3/DNAJB3	0.0974400117872098	0.367231910399639	0	1
OR10K1/OR10K1	0.363575092682093	0.0574861813413173	0	1
LDHAL6A/LDHAL6A	0.111670934671797	0.235170000452498	0	1
AGT/AGT	-0.108036450086361	0.246063951668484	0	1
GLIS2/GLIS2	0.0889221261963771	0.298375084741621	0	1
KRT71/KRT71	0.36289992706778	0.188900218875022	0	1
DAPP1/DAPP1	0.306456812475351	0.144300466372675	0	1
TKTL1/TKTL1	0.166832213568342	0.247311302478961	0	1
TM6SF1/TM6SF1	0.207458110545005	0.129774214493063	0	1
DNAJA3/DNAJA3	0.272147457420928	0.0180375393387354	0	1
ECEL1/ECEL1	0.195567434381326	0.259133808092965	0	1
CLDN6/CLDN6	-0.237036196289125	0.344642529721557	0	1
NEU1/NEU1	-0.57406739748453	0.0111933101557978	0	1
EPGN/EPGN	0.0849100914274835	0.280263635955768	0	1
OSR2/OSR2	0.303187146832413	0.149810482727286	0	1
CCR3/CCR3	0.171228568791626	0.276975984892391	0	1
CDHR5/CDHR5	0.222559264111935	0.235170000452498	0	1
TUBA3E/TUBA3E	-0.621117183323261	0.277146820558495	0	1
PTGER1/PTGER1	0.173196133920648	0.293057202718081	0	1
IL17C/IL17C	0.184148705665796	0.240224719618411	0	1
OR2W5/OR2W5	0.187412398523129	0.181128742812344	0	1
MYLK2/MYLK2	0.195132393045563	0.175915021152634	0	1
TAS2R3/TAS2R3	0.382956715115382	0.204065834186296	0	1
KCNA4/KCNA4	0.143559321849629	0.339063319034842	0	1
GLYATL2/GLYATL2	0.0726674580660185	0.307278817036653	0	1
IL23R/IL23R	0.180261939652118	0.189523025902295	0	1
SH2D2A/SH2D2A	0.53777923338712	0.108345438816142	0	1
MUC15/MUC15	0.135078817973271	0.305273645486907	0	1
CYP4A22/CYP4A22	0.852054317869312	0.143109138586942	0	1
IFI27/IFI27	0.337718644042634	0.138096126453797	0	1
OR2B2/OR2B2	0.190417252797596	0.244536569317332	0	1
GALR2/GALR2	0.0158430850403882	0.410986908311754	0	1
CHRM4/CHRM4	-0.0640411500690466	0.367103894451339	0	1
ART1/ART1	0.181426263194721	0.361835172049969	0	1
CASP5/CASP5	-0.0521035638661266	0.322721394702641	0	1
C20orf173/C20orf173	0.197096449654473	0.295142022860879	0	1
UPP2/UPP2	0.095055472874106	0.30861021644588	0	1
CRYBA1/CRYBA1	0.207132233760779	0.190075780670263	0	1
NPFFR2/NPFFR2	0.246920782494887	0.111746483798775	0	1
HRH2/HRH2	0.42235467607987	0.149234831480554	0	1
KIF25/KIF25	0.18092024634155	0.259268880416327	0	1
SLC46A2/SLC46A2	0.0741052939516397	0.353918208644223	0	1
SCAMP3/SCAMP3	-0.334631093725475	0.00550818757554544	0	1
CRABP1/CRABP1	0.260942637539177	0.252810535451945	0	1
ZNF137P/ZNF137P	0.00568688824699483	0.400624767910247	0	1
NOXA1/NOXA1	0.160634230545239	0.281258341859622	0	1
CELF5/CELF5	0.086988991879968	0.309574868223417	0	1
APBA2/APBA2	0.176524830343796	0.248515247103685	0	1
TCF21/TCF21	0.203227312654974	0.202240056147096	0	1
AMELX/AMELX	0.258764360561559	0.214925579041301	0	1
JPH2/JPH2	0.172746644425151	0.227682555743852	0	1
WNT6/WNT6	0.0796906559443127	0.340781515738436	0	1
ATP2B2/ATP2B2	0.322014677726101	0.169165059970269	0	1
SEPT12/SEPT12	0.209370966908473	0.26235815637936	0	1
CPVL/CPVL	0.102596213240892	0.298289297437439	0	1
ZNRF4/ZNRF4	0.0663947736559191	0.39973484772011	0	1
UPK3B/UPK3B	0.260210483332271	0.241143597409177	0	1
IGHV7-81/IGHV7-81	0.329966182935969	0.249942339760867	0	1
OR52K1/OR52K1	0.312094579420447	0.206080892355403	0	1
FAM9B/FAM9B	0.330238739330905	0.21574503175596	0	1
PGLYRP1/PGLYRP1	0.0988735181638908	0.323971729433642	0	1
IRF7/IRF7	0.121165418720223	0.323185774355338	0	1
SERPINB13/SERPINB13	0.190771795357423	0.256916416410179	0	1
TNFRSF17/TNFRSF17	0.08894980528639	0.334345751477276	0	1
NKX2-8/NKX2-8	0.16968880105239	0.251133830979168	0	1
TAF9/TAF9	-0.260714187526693	0.114522589255817	0	1
CD8A/CD8A	0.205582225540781	0.205891371565504	0	1
SDR16C5/SDR16C5	0.145286539734216	0.300763502499589	0	1
KRTAP26-1/KRTAP26-1	-0.198997726294851	0.3154887297229	0	1
TLX1/TLX1	0.244420380351456	0.27629831207177	0	1
OR2M2/OR2M2	-0.101361692408228	0.18463448253864	0	1
BDP1/BDP1	0.270206912666729	0.170542811988734	0	1
OSM/OSM	-0.0297954541522963	0.419684932189383	0	1
USH2A/USH2A	0.203336620858267	0.195445194189867	0	1
APOBEC3A/APOBEC3A	0.363190685619103	0.048963703036065	0	1
NRAP/NRAP	0.152554348823548	0.256181114094219	0	1
C10orf53/C10orf53	-0.035002698172202	0.370132169128351	0	1
AGER/AGER	0.302687340052694	0.236849777601031	0	1
TCF19/TCF19	0.287777457204793	0.0280455308862952	0	1
CBS/CBS	0.177770453225896	0.190691618266661	0	1
GABRE/GABRE	0.105773152971016	0.33195844602195	0	1
H2BFWT/H2BFWT	0.351568749638798	0.176834965021129	0	1
KCNV2/KCNV2	0.286156679328373	0.253676420877443	0	1
CLPS/CLPS	0.409441256980962	0.114361629578678	0	1
NPY/NPY	0.102981659027809	0.337813932356605	0	1
SIGLEC1/SIGLEC1	0.126126909225811	0.320896211799491	0	1
SLC9A2/SLC9A2	0.330830127076836	0.0870224346566793	0	1
TAL2/TAL2	0.427361988778161	0.0667058556847963	0	1
CYP4F12/CYP4F12	0.093650997693893	0.360168564179223	0	1
LCN9/LCN9	0.439725409775618	0.146100405887959	0	1
SYNGR4/SYNGR4	0.104161140682716	0.342044163338638	0	1
OR51G2/OR51G2	-0.0182098424785141	0.408580780224555	0	1
OR11H4/OR11H4	0.112193727962229	0.325929793934578	0	1
MAB21L2/MAB21L2	-0.0255764839130758	0.38370113838338	0	1
SCNN1B/SCNN1B	0.146945048151462	0.252092595634909	0	1
SPINT4/SPINT4	0.00619907150147667	0.395624731558963	0	1
GPX2/GPX2	0.23975234967383	0.295764184364352	0	1
NPNT/NPNT	0.241112013464191	0.212697634427276	0	1
DEFA5/DEFA5	0.27829582107554	0.298767504614504	0	1
RAB44/RAB44	0.148234590414743	0.268100863518384	0	1
ITGB2/ITGB2	0.177914770790793	0.224024558820114	0	1
MAS1L/MAS1L	0.556033597611064	0.132056831045111	0	1
GIMAP6/GIMAP6	0.278434185703148	0.251590509694297	0	1
AREG/AREG	0.204274613382276	0.269963434686958	0	1
NRSN1/NRSN1	0.0660587779040505	0.349377755826895	0	1
GOLGA6L9/GOLGA6L9	0.476417092502974	0.247218934265994	0	1
CEP72/CEP72	0.309800818698823	0.137230758200276	0	1
OR1L8/OR1L8	-0.041756989864517	0.379076097789275	0	1
SLC37A1/SLC37A1	0.087224656751796	0.349014740959456	0	1
DECR2/DECR2	0.0365944231242616	0.401058429202188	0	1
TMEM207/TMEM207	0.235512521798162	0.217431592788415	0	1
GGT6/GGT6	0.127179299475716	0.278100106552835	0	1
AGBL1/AGBL1	0.104737061550001	0.343540937772726	0	1
OTUB2/OTUB2	-0.104870020098124	0.192464082623983	0	1
VWA3A/VWA3A	0.185352300091949	0.370132169128351	0	1
SPIC/SPIC	-0.0413622575452066	0.347426807312864	0	1
PCSK9/PCSK9	0.17752345584531	0.244738940172034	0	1
BGN/BGN	0.152507961053753	0.319900589042901	0	1
SCGB1D2/SCGB1D2	-0.183942000888362	0.325955019202397	0	1
GNGT1/GNGT1	0.163005857633499	0.216473435701592	0	1
KIR2DL1/KIR2DL1	0.185466459614802	0.279245183881851	0	1
CBLN2/CBLN2	0.148619087303055	0.216724912156397	0	1
ADAMTS17/ADAMTS17	0.111315541202854	0.289007629734568	0	1
TAAR9/TAAR9	0.248968876079432	0.226119226654041	0	1
APOM/APOM	0.17386978684638	0.173514799388374	0	1
ST6GALNAC3/ST6GALNAC3	0.214930384268235	0.187341262760615	0	1
PDE6G/PDE6G	0.173060960323382	0.303111347506494	0	1
WNT16/WNT16	0.228636959357344	0.23152086223301	0	1
IL18RAP/IL18RAP	0.18056182568318	0.168463860560869	0	1
KRT86/KRT86	0.306303355646623	0.175398777418773	0	1
SLAMF6/SLAMF6	-0.0492192498406222	0.329828103726571	0	1
SLC22A3/SLC22A3	0.257879271036506	0.184316266087173	0	1
P2RY4/P2RY4	0.291476622450276	0.191824931145935	0	1
ADAMTS12/ADAMTS12	-0.0317899421895845	0.255299077984817	0	1
OR2AG1/OR2AG1	0.209715874612032	0.223491691254959	0	1
PROC/PROC	0.329689858790935	0.15587037306709	0	1
AMTN/AMTN	-0.0485625224112655	0.362705038179636	0	1
TAAR6/TAAR6	0.403432244286576	0.232954183728079	0	1
KCNH1/KCNH1	0.388331283254665	0.0977008533673464	0	1
VNN3/VNN3	0.114666049641236	0.296748114824899	0	1
SCTR/SCTR	0.174901784672474	0.232058212142755	0	1
SSX3/SSX3	-0.0176622990091641	0.397219272251127	0	1
EGR4/EGR4	0.276020218601578	0.171724148575034	0	1
KCNH3/KCNH3	0.225615358821723	0.23803204104735	0	1
CST4/CST4	-0.204054096540759	0.25218124880732	0	1
CCL11/CCL11	0.0284910348452468	0.378202518642388	0	1
IDO1/IDO1	0.162950495560897	0.179523099895323	0	1
GRM3/GRM3	0.0913510372954303	0.318579661751639	0	1
GDPD4/GDPD4	0.155302245686792	0.260934270155815	0	1
LALBA/LALBA	0.00638123337851152	0.416655010021851	0	1
SPRR2C/SPRR2C	0.0781361415137765	0.312858732397326	0	1
CRHR1/CRHR1	0.141209968418683	0.30931744356789	0	1
CCL18/CCL18	-0.0860985114510215	0.302785944828121	0	1
C3orf49/C3orf49	0.389449850807804	0.104731955200431	0	1
F13A1/F13A1	0.33408844759118	0.211164724784142	0	1
SLC10A1/SLC10A1	0.179714727294883	0.155482397659815	0	1
OGN/OGN	0.141167183277915	0.139558048078676	0	1
PPP1R2P9/PPP1R2P9	0.0829358912034611	0.370132169128351	0	1
MMP8/MMP8	-0.097747365146439	0.252642255480413	0	1
PLA2G12B/PLA2G12B	0.20982826734034	0.202933295910177	0	1
GPR20/GPR20	0.374215584372073	0.284981725358865	0	1
RFPL3/RFPL3	-0.0995488573902784	0.287083995414788	0	1
CCDC3/CCDC3	0.118557766332232	0.349467390380358	0	1
DHH/DHH	-0.00901487374491638	0.408383994757607	0	1
PRPH2/PRPH2	0.479192207291284	0.189035926939916	0	1
PRPS1L1/PRPS1L1	0.0384671788558085	0.320633563212093	0	1
IRX4/IRX4	0.170894908468625	0.266112639841817	0	1
GPR97/GPR97	0.0707823223555997	0.359471226089083	0	1
NFKBIL1/NFKBIL1	0.165578464174067	0.227636607604087	0	1
C10orf62/C10orf62	0.236982610608484	0.250807516194611	0	1
SLC30A8/SLC30A8	0.475128666876808	0.0904989439906031	0	1
RXFP4/RXFP4	0.0709578326482909	0.344749184030838	0	1
KRTAP10-9/KRTAP10-9	0.154682822915696	0.330874647350008	0	1
MOV10L1/MOV10L1	0.200763491214114	0.240896504537851	0	1
SLC6A1/SLC6A1	0.15403735161824	0.300945647970771	0	1
SERTAD4/SERTAD4	0.0866019190763603	0.341660547479003	0	1
DDI1/DDI1	0.293937259872318	0.196106863363112	0	1
C1orf158/C1orf158	0.329972395840064	0.176714080065724	0	1
TREM2/TREM2	0.284806000998831	0.155465235202315	0	1
RTP2/RTP2	0.315210905720562	0.276925520251367	0	1
ST13P4/ST13P4	0.456196455124976	0.251778484743545	0	1
FAM19A2/FAM19A2	0.267457020112447	0.249615710482832	0	1
SLC10A6/SLC10A6	0.103786415927088	0.243374130832165	0	1
EEF1D/EEF1D	0.251802505822828	0.18131302208503	0	1
FAM187B/FAM187B	-0.0962074673715878	0.293834437501864	0	1
OR51B2/OR51B2	0.174171065995596	0.275304832173425	0	1
OR4D11/OR4D11	0.503834545322173	0.130816544215245	0	1
NUDT8/NUDT8	0.156193115611134	0.28968519764322	0	1
CELA3B/CELA3B	0.166389180810831	0.263746963592265	0	1
ADAMTS8/ADAMTS8	0.130696909858105	0.312341985817585	0	1
SPATA3/SPATA3	0.293781509048093	0.219716707654088	0	1
LRRTM2/LRRTM2	0.300461235616989	0.182521403769459	0	1
GIMAP4/GIMAP4	0.37206933655153	0.129785643969262	0	1
ERP27/ERP27	0.111694125920369	0.298456484397213	0	1
SLITRK3/SLITRK3	0.280842080090568	0.174285513460068	0	1
CHRDL2/CHRDL2	0.268409439935727	0.219837604955712	0	1
RGS11/RGS11	0.177246913675178	0.268527187724939	0	1
TNP2/TNP2	0.259877240395615	0.0544990107506792	0	1
CLPTM1L/CLPTM1L	-0.178755189794859	0.0395229183379977	0	1
MEOX2/MEOX2	0.169474135429435	0.125396297738105	0	1
STK31/STK31	0.156566062121765	0.0691793326937549	0	1
